disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,92427.0,21-30%,659350,2024,724341,2035,DKK Danish Krone,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,City / Municipality,98.64,21-30%,378387.0,2022,463358.0,2041,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,170.0,21-30%,383536,2023,440996,2032,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,132.5,61-70%,345356,2023,346278,2030,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,175.5,21-30%,622050,2022,647273,2030,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Federal district,National,No lower level of government,158.0,11-20%,702250,2024,894000.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,No lower level of government,37.7,21-30%,159813.0,2022,384024.0,2041,AUD Australian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,County / Province,Independent city / municipality,1287.36,61-70%,2797266,2024,2750000,2045,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: Metropolis,National,City / Municipality,2199.94,51-60%,14200331,2025,14260000,2030,JPY Japanese yen,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,2952.12,81-90%,2731412,2024,2731412,2030,TWD New Taiwan Dollar,CRF Complete level
