disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,54268,Dunedin City Council,City,South East Asia & Oceania,New Zealand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,3286.0,61-70%,134600,2023,139771.0,2030,NZD New Zealand Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54277,New Plymouth District Council,City,South East Asia & Oceania,New Zealand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,2342.0,11-20%,90300,2024,991213,2034,NZD New Zealand Dollar,
2025 Disclosure Cycle,779465,CDP,54290,Qingdao Municipal Government,City,China,China,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Consolidated city-county,23533,51-60%,10442500,2024,13000000.0,2035,CNY Yuan Renminbi,
2025 Disclosure Cycle,779465,CDP,54293,People's Government of Guangzhou Municipality,City,China,China,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,7434.4,41-50%,18978000,2024,22000000,2035,CNY Yuan Renminbi,
2025 Disclosure Cycle,779465,CDP,54298,Dalian Municipal People's Government,City,China,China,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Consolidated city-county,Consolidated city-county,12574,41-50%,7544000,2024,7550000,2026,CNY Yuan Renminbi,
2025 Disclosure Cycle,779465,CDP,54305,Rajkot Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,161.86,<5%,2045682,2021,5249168,2050,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Federal district,28.199,5-10%,2486283,2024,2510517,2026,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54308,Coimbatore City Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,257.0,21-30%,2598282,2025,3045889,2030,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,401,91-100%,1801367,2024,1962082,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54318,Government of Tangerang City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,164.55,<5%,1908600.0,2022,3941600.0,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54327,Semarang City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,373.78,31-40%,1708833,2024,1782575,2030,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,54328,City of Niigata,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,State / regional,No lower level of government,726.19,51-60%,773914,2022,719441.0,2040,JPY Japanese yen,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54329,Bogor City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Consolidated city-county,County / Province,Sub-municipal district,111.38,<5%,1144108,2025,1201720,2045,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54330,City of Kawasaki,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,State / regional,No lower level of government,144.35,11-20%,1557683,2025,1539900,2050,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,54331,City of Sagamihara,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,328.91,61-70%,722245,2025,664872,2045,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,54335,Government of the City of Yogyakarta,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Kemantren/ Kecamatan,32.82,21-30%,415605,2024,373970,2030,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,City,UKWW,Jordan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,801.92,5-10%,4238592,2024,5190000.0,2030,JOD Jordanian Dinar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54339,Denpasar City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,125.97,11-20%,673270,2024,694060,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54341,Toyama City,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Town,1241.77,61-70%,409075,2022,357643,2050,JPY Japanese yen,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54345,City Government of Davao,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Town,2444,71-80%,1848947,2024,2171473,2040,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,54348,The Local Government of Quezon City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,161.12,21-30%,2936116,2015,3337946,2026,PHP Philippine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54349,Balikpapan City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,511.01,41-50%,757418,2024,848572,2033,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54354,City Government of Makati,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Other: Barangay,18.17,11-20%,309770,2024,492628,2050,PHP Philippine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54361,Petaling Jaya City Council,City,South East Asia & Oceania,Malaysia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Local government area within a greater metropolitan area,97.2,11-20%,807879,2024,1009655.0,2030,MYR Malaysian Ringgit,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54385,Pak Kret City Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,36.04,21-30%,186295,2025,185826,2030,THB Baht,
2025 Disclosure Cycle,779465,CDP,54386,Tainan City Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,2191.65,71-80%,1859946,2023,1536000,2050,TWD New Taiwan Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54388,Iskandar Regional Development Authority,City,South East Asia & Oceania,Malaysia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: Region,State / regional,City / Municipality,2300,21-30%,226000,2024,272000,2030,MYR Malaysian Ringgit,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Other: District Office,2214.8968,81-90%,2845909,2023,2640855,2050,TWD New Taiwan Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,38.9,<5%,239882,2025,246744,2030,THB Baht,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54395,Taoyuan City Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,National,Sub-municipal district,1220.95,81-90%,2338648,2024,2500153,2050,TWD New Taiwan Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,City,Europe,Finland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,517.63,61-70%,121337,2024,124000,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,689.59,61-70%,260180,2024,284930,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,468.0,51-60%,373512,2025,396810,2030,DKK Danish Krone,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54410,City of Oulu,City,Europe,Finland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,3817.7,21-30%,216194,2024,228111,2035,EUR Euro,
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,303.28,51-60%,322715,2024,333400,2033,,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54448,City of Augsburg,City,Europe,Germany,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,County / Province,No lower level of government,147,31-40%,306000,2023,325000,2038,EUR Euro,
2025 Disclosure Cycle,779465,CDP,54459,City of Reykjavík,City,Europe,Iceland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,246.0,61-70%,136894,2024,161474.0,2040,ISK Iceland Krona,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,City,Europe,Netherlands,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,89.35,11-20%,243721,2023,272060,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,City,Europe,Netherlands,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,58.0,21-30%,188981,2025,200000.0,2030,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,262.22,5-10%,150663,2025,154518,2030,NOK Norwegian Krone,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,528.6,61-70%,216889,2025,250341,2050,NOK Norwegian Krone,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,464.76,61-70%,291940,2024,301200,2030,NOK Norwegian Krone,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,1485,I do not have this data,148000,2025,157100,2035,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,5277.25,61-70%,132235.0,2022,154000.0,2040,SEK Swedish Krona,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,2234.0,31-40%,248016,2024,308000,2050,SEK Swedish Krona,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54516,Norrköping Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,,1495,31-40%,144980,2024,,,,
