disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,11638954,National-level data,2.97,29.4,3.62,20.03,7.56,2.63,21.47,0.1,12.21,0.0,0.0,0.01,0.0,0.0,2022,\'Wave\' and \'Tidal\' grouped inside \'Tidal\' since there is no available disaggregation. National energy mix according to the gross generation in the latest National Energy Balance (2022) - Table 1.5. Total gross production. More info available in: https://www.miteco.gob.es/es/energia/estrategia-normativa/balances/balances.html. Electricity consumption of Madrid City according to municipal energy balance (2022 data. 2022 is the latest year with a local GHG emissions inventory). More info in attached document (AYTOMAD_BalanceEner_2022) and also available at: https://www.madrid.es/portales/munimadrid/es/Inicio/Medio-ambiente/Publicaciones/Balance-Energetico-del-Municipio-de-Madrid/?vgnextfmt=default&vgnextoid=ee600e2f5bc25410VgnVCM1000000b205a0aRCRD&vgnextchannel=f6ff79ed268fe410VgnVCM1000000b205a0aRCRD. Energy balance methodology can be consulted here: https://www.sciencedirect.com/science/article/pii/S0264275118308011
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,11877000,Regional/State-level data,0.0,74.4,2.8,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,"Se sabe que hay aprovechamiento de energía solar y eólica en la ciudad, sin embargo, no se tiene totalmente cuantificada, pero hay una estimación de la Generación distribuida en el Diagnóstico de Transición Energética en la Ciudad de México, publicado en junio de 2022, la cual corresponde a 101.69 GWh al año, https://www.bivica.org/files/6301_Output%201.%20Diagn%C3%B3stico%20de%20Transici%C3%B3n%20Energ%C3%A9tica%20CDMX.pdf"
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6271369,National-level data,5,45.5,4.4,0.0,15.2,6.2,8.9,2.2,11.7,0,0,0,0,0.9,2023,It's not possible to define en energy mix for electricity at the city level as electricity is purchased on the market by citizens and companies. Therefore the national energy mix is reported. Waste to energy is included in \'other non renewable sources\'.Also we don't have data regarding citizens and companies that purchase 100% certified renewable electricity. Therefore the actual energy mix for electricity in Milan has a higher percentage of renewable energy than the one reported.
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,11524214.37,National-level data,0.16,5.88,0.34,64.77,11.89,1.95,10.29,0.0,4.55,0.4,0.0,0.0,0.0,0.0,2022,"CONTEXT : Energy mix listed is from the national opendata for the year of the City's energy analysis (done in conjunction of the GHG inventory). (https://www.data.gouv.fr/datasets/production-nationale-annuelle-par-filiere-2012-a-2021/) \n\nPROGRESS : In 2023, national nuclear production increased after the notable 2022 decrease due to the stop and upkeep of several of the French reactors. \n\nPAST DESCRIPTION : The national electricity report for the year 2022, characterized by an unprecedented energy crisis since the oil shocks of the 1970s. Despite European tensions over gas and a very degraded production potential for nuclear and hydraulic power, the security of supply was guaranteed, thanks to a significant decrease in national consumption from the autumn and a reversal of electricity exchanges - a first since 1980. The effects of the crisis are mainly economic, with an unprecedented increase in market prices in the summer and autumn, which are spreading into tariffs throughout the year 2023. However, the year 2022 did not mark a pause in the energy transition: it shows a record commissioning of renewable installations, and despite the heavy use of gas plants, greenhouse gas emissions were contained: France remains one of the countries with the most strongly decarbonized electricity. https://observatoire.enedis.fr/, aims to be a relevant and useful reference tool as well as a decision-making aid for all stakeholders involved in the ecological transition: local authorities, institutions, researchers and academics, citizens, and journalists."
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,20432349,National-level data,1.2,4.2,0.3,2.1,61.4,4.2,15.5,0,11.1,0,0.0,0.0,0.0,0.1,2024,"A cidade do Rio de Janeiro é abastecida por uma rede elétrica nacional, o Sistema Interligado Nacional Brasileiro (SIN); esses percentuais referem-se ao mix energético do SIN em 2024 (ver documento do link abaixo). Existem alguns consumidores na cidade que geram sua própria eletricidade na maior parte do tempo, como algumas indústrias, ou apenas em tempo parcial, como outras indústrias, alguns supermercados, shopping centers, hospitais etc. , parte deles usando combustível fóssil para esse fim. A matriz elétrica apresentada não incluiu esses casos, mas inclui estimativa do consumo da geração distribuída solar consumida por quem gera. O consumo total informado inclui o consumo formal de 15.776.360,4 MWh (tabela 1686 em Data.Rio) e o furto de eletricidade estimado de 4.655.988,5 MWh para o ano de 2023. https://www.gov.br/mme/pt-br/assuntos/secretarias/secretaria-nacional-energia-eletrica/publicacoes/boletim-de-monitoramento-do-sistema-eletrico/2025/boletim-mensal-janeiro-2025_snee-ddos-vfinal-2.docx/view"
2025 Disclosure Cycle,779465,CDP,31177,"Salt Lake City, UT",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3398423.63,Jurisdiction-level data,36.1,22.4,0.0,0.0,4.7,0.2,12.5,0.4,6.3,,,,,13.3,2023,
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,20338162.1,Jurisdiction-level data,75.3752,0,0,0,0,0,0,0,0,0.0259,0,0,24.6234,0,2023|2022,Primary data collection from DISCOMs
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6644576,National-level data,8.6,38.1,1.3,3.2,0,5.7,24.6,0,16.7,0,0,0,0.4,1.2,2023,"This is the mix that is used for electricity production on national level (https://opendata.cbs.nl/#/CBS/nl/dataset/84575NED/table?dl=9ED6C), total consumption on jurisdiction level (https://klimaatmonitor.databank.nl/jive variabelen code: \'vbrze_tot\' en \'elwoningen\')."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,13108247.01,Utility-level data,22,39,0,22,7,2,3,0.0,3,2,0,0,0,0,2022,PECO Technology Supply Breakdown (with RECs as purchased for RPS for Default Load). PECO serves the 5 counties of the greater Philadelphia area.
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4436369.44,Jurisdiction-level data,0.0,0.33,0.0,3.4,39.98,0.32,9.13,14.39,18.99,0.0,0.0,0.0,6.38,7.08,2022,"This mix consists of: Large Hydro, Wind, Solar, Geothermal, Small Hydro, Biomass, and Nuclear. Data was taken from the 2022 San Francisco Community-wide GHG Inventory."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,28081158.35,National-level data,1.3,6.3,0.6,2.1,55.3,7.2,14.1,0,9.3,0,0,0,2.4,1.5,2024,"Para o consumo total da jurisdição, foram utilizados dados disponíveis do município. Na decomposição percentual reportada, foram utilizados dados representativos da matriz elétrica brasileira. O percentual do consumo por tipo de energia foi reportado com base na matriz elétrica nacional, pois a cidade é abastecida pelo Sistema Interligado Nacional (SIN), que conecta diferentes regiões do país. Isso permite que São Paulo consuma energia gerada em outros estados, como de hidrelétricas, eólicas e outras fontes. O SIN garante a distribuição eficiente e estável de energia, independentemente da origem, tornando necessário que o consumo da cidade reflita a participação de todas as fontes da matriz elétrica nacional, e não apenas as do estado de São Paulo, onde a jurisdição está localizada. No detalhamento do consumo, não foi reportado o valor referente à energia proveniente de importação líquida, pois não é possível identificar a fonte específica de geração nesse processo. \n\n\nConsumo total (2025 - ano base 2024): Anuário de energéticos por municípios do Estado de São Paulo. https://smastr16.blob.core.windows.net/home/2025/07/Anuario-de-Energeticos-por-Municipios-do-Estado-de-Sao-Paulo-2025-ano-base-2024.pdf\n\n\nBalanço energético nacional (2025 - ano base 2024) Disponível em: https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-885/topico-771/Relat%C3%B3rio%20Final_BEN%202025.pdf"
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,16181940,National-level data,42.2,39.5,1.3,6.3,2.5,0.1,2.2,0,4.6,1.2,0.0,0.0,1.24,0.0,2024,"Taipei City currently does not have any power plants in the category of renewable energy. Therefore, apart from its own renewable energy sources, it needs to purchase electricity from the national power authority."
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,700754,Regional/State-level data,0.0,23.6,0.9,0.0,0.0,0.0,45.2,0.0,29,0.0,0,0,1.4,0.0,2023|2024,Jurisdiction-wide MWh are provided for the City of Adelaide for FY2023/24.\n\nThe South Australian Electricity Report 2024 (December 2024) contains the energy mix of the jurisdiction's electricity grid for FY2023/24 on page 34: https://www.aemo.com.au/-/media/files/electricity/nem/planning_and_forecasting/sa_advisory/2024/2024-south-australian-electricity-report---combined.pdf?rev=2461f820a6f442f19868171cbced9e3d&sc_lang=en
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6738006.455,Utility-level data,25.6,31.5,0,0,,1,33.7,0,8.4,0,22,,,,,
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6220453,Regional/State-level data,0.2,54.9,0.3,22.9,9.5,1.8,3.3,0,3.8,0.5,0,0,,0.3,2023,Electricity mix from ISO-New England 2023 Net Energy and Peak Load Report: https://www.iso-ne.com/isoexpress/web/reports/load-and-demand/-/tree/net-ener-peak-load 
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2693000,Jurisdiction-level data,0,0,0,5.5,55.7,1.4,23.3,0,1.6,0.2,0,0,2.3,10,2023,Data from the municipal electric utility. Electricity mix of consumers in the liberalised market has been estimated based on a survey.
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,88827000,Regional/State-level data,2,76,0.0,0.0,2,0.0,14,0.0,3,0.0,0.0,0.0,1,2,2024,"The grid source mix was approximated from the average net-to-grid generation from each generation technology data provided in the AESO 2024 Annual Market Statistics. It was assumed that the grid source mix for the province of Alberta would be similar in The City of Calgary, even though all the City of Calgary's corporate operations use 100% renewable electricity through a power purchase agreement with its utility provider, ENMAX. AESO 2024 Annual Market Statistics source: https://www.aeso.ca/assets/Uploads/market-and-system-reporting/Annual-Market-Stats-2024.pdf pdf "
2025 Disclosure Cycle,779465,CDP,35848,Municipality of Belo Horizonte,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3772529.0,Jurisdiction-level data,0.0,9.3,2.0,0.0,64.9,8.4,8.6,0.0,1.0,0,0,0,0,0,2022,"O consumo de energia do município de Belo Horizonte é proveniente apenas dos tipos: gás, petróleo, hidrelétrica (que é mais de 60%), energia eólica e solar, sendo os demais sem participação no município."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,16800,National-level data,31,22,1,3,20,2,11,3,7,0,0,0,0,0,2022,"The electricity consumption of Ankara Metropolitan Municipality (ABB) has been reported based on national-level data from the Turkish Electricity Transmission Corporation (TEİAŞ) for the year 2022, as jurisdiction-specific breakdown data is not publicly available. This approach is consistent with the methodology applied in the Ankara LCCAP (Local Climate Change Action Plan) and the YIDEP (Climate Change Adaptation and Emission Reduction Program), which both align with the Global Covenant of Mayors (GCoM) Common Reporting Framework requirements.\n\nAccording to TEİAŞ data, the Turkish national electricity mix in 2022 consisted of approximately 31% coal, 22% natural gas, 1% oil, 3% nuclear, and 43% renewable sources. Within renewables, the largest contributors were hydropower (20%), wind (11%), solar (7%), geothermal (3%), and bioenergy (2%). Ankara's grid electricity consumption therefore reflects this national composition, as the city is fully integrated into the national transmission and distribution system.\n\nAlthough the grid mix is defined nationally, ABB has undertaken significant efforts to increase the share of local renewable energy generation within the jurisdiction. The municipality has supported the installation of solar PV systems for rural irrigation, promoted rooftop PV applications in public buildings, and implemented biogas-to-energy recovery through the Mamak Integrated Solid Waste Facility (ITC), which captures methane emissions and generates electricity from landfill gas. These projects contribute directly to the renewable share of Ankara's electricity use and demonstrate the city's commitment to low-carbon development.\n\nThe inclusion of nuclear power (3%) reflects the initial contribution of the Akkuyu Nuclear Power Plant, which entered the Turkish grid mix. While nuclear energy is not renewable, it reduces dependency on fossil fuel imports and contributes to the diversification of the energy portfolio.\n\nIn addition to supply-side efforts, ABB promotes demand-side management by supporting energy efficiency measures in municipal facilities, advancing public transport electrification plans, and raising awareness on household energy savings. The combination of national grid decarbonization and local renewable deployment is critical to achieving the city's mitigation targets under GCoM and Turkey's National Energy and Climate Plan (NECP)."
