disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),23.0,13.0,0.0,3.0,32,0.0,0.0,28.0,0,1,2018,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,国でパーソントリップ調査を10年ごとに実施しており、記載したデータはその結果の最新データ（2018年）となります。また、タクシーの分担率は「民間自動車輸送」に含まれます。その他に含まれるものは二輪車です。
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),7.6,1.9,,4.7,48,0.7,,36.7,,0.4,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Mode split (GPC disnace) from Google Insights Explorer https://insights.sustainability.google/ except ferries (JTW/HTS).
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15.36,0.1,0.0,2.64,1.5,0.0,42.68,26.54,0,11.18,2019,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Transport patterns are primarily car-centric, with minibus taxis being a dominant mode. Additionally, a considerable number of individuals walk to work. However, the infrastructure continues to favor motorized vehicles over non-motorized forms of transport. It is crucial for the city to make a transition in this area."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12.1,4.4,0,11.89,12.11,0.0,1.5,57.2,0,0.8,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The Summary of Findings from Transportation Tomorrow Survey 2022 - made public on December 18 including City-wide mode share (2022) : All trips within the City of Toronto, Home-based work trips within the City of Toronto, Mode share for trips to Downtown Toronto ,Total Daly City-wide Cycling Trips More details : https://www.toronto.ca/legdocs/mmis/2024/cc/bgrd/backgroundfile-250546.pdf and Travel Summaries GTHA Municipal Wards, 2022 City of Toronto - July 2025 https://dmg.utoronto.ca/wp-content/uploads/2025/08/2022-TTS-Travel-Summaries-Wards-Toronto-v5.1.pdf\nToronto Transit Expansion Initiatives as of August 25, 2025 includes: \n1. Line 5 Eglinton Crosstown (Light Rail Transit - LRT) - A 19-km light rail line along Eglinton Avenue with 25 stations.Connects key areas from Mount Dennis to Kennedy Station.Improves east-west connectivity and reduces travel times.\n2. Line 6 Finch West (LRT) - An 11-km LRT line with 18 stops, connecting Finch West Station to Humber College.Aims to serve diverse communities in northwest Toronto, reducing car dependency in underserved areas.\n3. Ontario Line (Subway)- A 15.6-km line with 15 stations from Ontario Place/Exhibition to the Ontario Science Centre.Provides a high-capacity alternative to Line 1, easing downtown congestion.\n4. Surface Transit Priority: RapidTO - RapidTO is a program that introduces dedicated bus lanes on busy corridors to encourage mode shift from cars to TTC buses/streetcars.\n5. Active Transportation: Cycling & Bike Share - Bike Share Toronto - Operated by the Toronto Parking Authority. Over 9,000 bikes and 700+ stations across the city - expansion continues into suburban areas (Etobicoke, Scarborough, North York) and offers a first-mile/last-mile solution to complement transit.\n6. Cycling Infrastructure- Ongoing rollout of protected bike lanes, cycle tracks, and multi-use paths. Focus on connecting gaps in the cycling network to encourage safer and more practical cycling trips.\n7. Smart Commute Program (Metrolinx & Municipalities) - Commuter Behaviour Programs helps workplaces and commuters shift to sustainable transportation (carpooling, transit, walking, cycling).\n8. Development of other Complementary Initiatives: Presto integration for easier multi-modal travel: A) PRESTO integrates multiple transit agencies in the Greater Toronto and Hamilton Area allowing users to pay for travel across different systems using a single card or contactless payment method) B) Microtransit Pilots in Low-Density Areas"
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),54.0,,,31.0,,,,15.0,,,,100.00,Freight mode share as share of trips (%),,0.0,0.0,0.0,0.0,0.0,0.0,,0.00,
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),7.7,0.79,12.8,5.81,11,0,0,61.9,0,0.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Taxis are included in private motorized transport. Data derive from inboundary distance travelled in 2023 by Google EIE.\nThese percentages are expected to change and minimise the car use as there are major works happening in the city regarding transport:\n- construction of new metro line (line 4)\n- opening up of big streets to traffic that were closed due to construction works\n- metro 24 hour operation in the weekends that recently announced\n- new initiatives from the city for initiating municipal buses routes \n- new initiatives from the Ministry of Transport to replace trolleys in stages with electrical buses that will work more efficiently than trolley buses (less damages on the route, therefore less delays)\n-more pedestrian and low traffic streets/cycle routes are constructed and more are designed."
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2.25,0,0,7.11,2.1,0.21,5.52,81.55,0,1.26,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Walk and Cycling = 2.25% 
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),34,18.0,0,0,26,0,0,22,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Rail/Metro/Tram also include taxis
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),26.3,7.2,0.1,34.5,0,0,5,21.4,1.1,4.4,2023,100.00,Freight mode share as share of trips (%),0.0,49,30,21,0.0,0.0,0.0,2020,100.00,Year passenger mode share data applies to 2023. Source: Encuesta de Movilidad 2023\n\nYear freight mode share data applies to 2020. Source: Encuesta de Carga 2020
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15.8,3.9,0.0,31.46,17.2,0.0,1.9,28.5,0,1.24,2024,100.00,Freight mode share as share of trips (%),3.7,75.7,0,20.6,0,0,0,2023,100.00,"Se considera que el 64,7% de los viajes en transporte público se hacen exclusivamente en autobus según la Partición Modal de los viajes en la Ciudad de Buenos Aires 2024. No se consideran los viajes que incluyen autobus + tren o subte, los cuales se incluyen en la fila siguiente. No se cuenta con porcentajes de uso de transporte de carga por tipo de transporte. Se reportan los porcentajes por cantidad por tipo de vehículo. En cuanto al transporte de carga en motocicleta/vehículos de dos ruedas, se cuenta con 18.526 repartidores registrados en el Registro único de Transporte de Mensajería Urbana y/o Reparto a Domicilio de Sustancias Alimenticias. Para las categorías vehículos de mercancías livianas y vehículos de mercancías pesadas, se estiman en 2021 un total de 384.250 vehículos y 104.720 vehículos, respectivamente. Estos datos fueron estimados a partir de registros de 2015, multiplicados por la tasa de crecimiento anual."
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),23,2,0.0,21,0.0,0.0,2,46,0,5,2017,99.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Números apresentados pelo Plano Setorial\nde Mobilidade Urbana e Transporte Integrado, Volume 2, (CURITIBA, 2022), na\ndistribuição modal de 2016/2017. <HTTPS://IPPUC.ETOOLS.COM.BR/STORAGE/UPLOADS/3CF63E4D-C21A4F8C-9055-DB9CBB65DDC4/04-PS-MOBILIDADE---VOL-2---\nDIAGN%C3%B3STICO-JULHO-22.PDF>"
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),41.2,0.0,0.0,16.1,6.2,0.2,18,18.3,0,0.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The most updated data are taken from the Transportation Planning Directorate of IMM. \n\nPassenger mode shares in 2023 (most current data):\n\n* Pedestrians (walking) - 41.2%\n* Buses (including metrobuses and minibuses) - 16.1%\n* Railway (including metro and tram) - 6.2%\n* Ferries - 0.2%\n* Private motorized vehicles - 18.3%\n* Shared shuttle buses for personnels - 18%\n\nTOTAL - 100%\n\n===============\n\nAdditionally; \n\nAccording to IETT 2024 Annual Report (IMM's subsidiary regarding bus operations):\n\n- In 2024, the number of bus trips was 5.8 million.\n- In 2024, the number of metrobus [bus rapid transit] trips was 2 million.\n- In 2024, the number of kilometer of bus journeys was 160 million.\n- In 2024, the number of kilometer of metrobus journeys was 80 million.\n- In 2024, the number of bus journeys was 391 million.\n- In 2024, the number of metrobus journeys was 287 million.\n- The total number of bus vehicles were 2,814 and metrobus vehicles were 702 in 2024.\n\n===============\n\nAccording to IMM 2024 Annual Report:\n\n- In order to revitalise maritime transport and increase the share of maritime transport in public transport, Şehir Hatları Inc. carried a total of 39,870,117 passengers by making 324,215 trips on 32 lines and 53 piers with newly opened lines, express services and additional services. Şehir Hatları Inc. Fleet served passengers with a total of 88 vessels. (waterborne public transportation)\n\n===============\n\nAccording to Metro Istanbul Inc. (metro operations subsidiary company of IMM) 2024 Annual Report: \n\nIn 2024, \n\n- Total length of metro lines: 241.35 km,\n- Total metro lines: 18,\n- Total number of metro stations: 235,\n- Total kilometres travelled by metros: 123,857,468 km,\n- Total number of metro journeys: 2,102,688 trips,\n- Total number of passengers carried by metro trains: 915.314.424 passengers.\n"
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),29,33,0,0,14,0,0,24,0,0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The analyses are based on traffic counts and the System of Representative Traffic Surveys (SrV) of the Technical University Dresden. It is a household survey, carried out every five years, of people registered as having their main and secondary residence in Heidelberg."
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,0,7.55,32.94,10,0,13.32,36.19,0,0.0,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),38,2,0,45.41,1,0.34,1,11,0,1.25,2015,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Micro -Mobility data provides above refers to motocycles while HD Trucks were categorized in \'Other\'.\n\nPrivate vehicles and taxis were jointly accounted for as 11%. The data was obtained from lamata and can be accessed via the link below;\n\nhttps://transformative-mobility.org/wp-content/uploads/2023/03/TUMI-winner_City-profile-and-story_Lagos-5AhN63.pdf
