disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of population that is food insecure,col3_Percentage of population that lives in a food desert,col4_Comment
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,30,,"Informe del Programa Mundial de Alimentos (WFP). Esta cifra incluye tanto inseguridad alimentaria moderada como severa, afectando a cerca de 491,000 personas en la ciudad. Cali, a través de su Plan de Desarrollo \'Cali, Capital Pacífica de Colombia\', está implementando programas para reducir esta cifra, como el programa \'Hambre Cero\' y la nueva Ley de Donación de Alimentos de 2024, que promueve la donación de alimentos para combatir el hambre. Enlace de consulta: https://drive.google.com/drive/folders/1wyXeIXTRr14b1MdZPBHf0b1EBczGfZyV?usp=drive_link"
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,6.5,,National level data available on https://www.wfp.org/countries/ghana 
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,N/A
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,1.4,0,"This statistic is based on the data, which measures the number of people using the services of Food Bank."
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,4.39,,2014
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,【令和5年度人口動態調査（厚生労働省）の結果】\n令和5年度における「食糧の不足」を原因とする死亡者数は20人。総死亡数157万6016人に対し、発生頻度は12.69ppm。
2025 Disclosure Cycle,779465,CDP,36247,City of Arezzo,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,x
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,0.13,Data from Caritas 490 users per day
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,15.9,11.2,"Feeding America has produced the Map the Meal Gap study, providing estimates of local food insecurity (2023). Data from the USDA indicates that residents are considered low-income and live in areas with insufficient access to grocery stores, classifying these areas as food deserts. The most recent report uses 2019 grocery store locations with 2010 census population info. We chose 1 mile as the low access distance for urban areas and 10 miles for rural areas"
2025 Disclosure Cycle,779465,CDP,36469,City of L'Aquila,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,Not available data 
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,no information available 
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,40.96,34.5,"Um estudo publicado no Cadernos de Saúde Pública (2022), utilizando a Escala Brasileira de Insegurança Alimentar, mostra que 40,96% dos domicílios em Salvador enfrentam algum grau de insegurança alimentar, sendo: Orla Atlântica (25,8%), Área Urbana Consolidada (33%), Subúrbio (45,7%) e Miolo (47,9%)."
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,48.9,15.4,dados do Ministério do Desenvolvimento Social
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,15.4,,"Dato a nivel nacional, tomado de estudio publicado por la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO).https://www.primicias.ec/noticias/sociedad/ecuador-hambre-sudamerica-alimentos-fao/"
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,12.1,,Tercer informe nacional de prevalencia de inseguridad alimentaria en hogares 2024\nhttps://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/documentos/publicaciones/Prevalencia%20de%20inseguridad%20alimentaria%20en%20hogares%20de%20Uruguay%202024.pdf
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,14,28,"The PaCE Office and Community Nutrition and \nthe policy team supported the convening of the Food Insecurity Workgroup in March 2023. The Workgroup continues to build community trust and gather information as the assessment is conducted. Workgroup members will\ndevelop and decide on actions to take using evidence-based strategies to address food insecurity locally, with appropriate metrics to measure progress.\n\nhttps://cinow.info/wp-content/uploads/2024/03/FIA_UserGuide_Final.pdf (14% food insecurity rate for Bexar County) \n\nhttps://www.sasustainability.com/category/food-systems (food desert: 28%) \n\n\n\n"
