disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,36262,City of Genoa,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,There is a 2024 report that deals with the subject at national / regional level https://www.istat.it/it/files//2024/05/Rapporto-Annuale-2024.pdf
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.2,Up to 20% or more of income spent on energy services,"it has been calculated as the 0,2% of tenants"
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,21.68,Up to 10% of income spent on energy services,"Created this estimate using data from the 2019 American Housing Survey. Metropolitan-level data is updated on this survey every four years, though data issues in 2023 prevented the completion of reports for many metropolitan areas, including Memphis. Additional data sources are being identified."
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Not available data 
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Energy poverty will be estimated next year. This year we have estrapolated some data but we are not ready to make a valid estimation.
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,8.1,Other: unknown,"IDP 22/27: pg 86: Households with electricity for lighting have also improved from 85.8% in 2001 to 91.9% in 2011, which is well above the provincial average of 77.9% of households. "
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"Não existem dados oficiais desagregados para Salvador sobre pobreza energética, segundo os parâmetros internacionais (como gasto energético acima de 10 % da renda familiar ou uso limitado de energia elétrica)."
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"Em Goiânia / no estado de Goiás, a pobreza energética manifesta-se sobretudo no peso elevado da tarifa de eletricidade para famílias de baixa renda. O programa de Tarifa Social de Energia já beneficia centenas de milhares de famílias, com descontos de até 65%. No entanto, uma parcela significativa das famílias com direito ainda não usufrui desse benefício (por desconhecimento ou impedimentos burocráticos). Ainda faltam dados locais específicos sobre consumo mínimo, confiabilidade do fornecimento e confortos térmicos em domicílios vulneráveis, para mapear plenamente a pobreza energética.\n"
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No se tiene cuantificada la pobreza energética para la ciudad.
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,7.4,Other: Median low-income (<%200 FPL) energy burden,https://kladashboard-clientsourcefiles.s3.amazonaws.com/San+Antonio/aceee-energy_burden_-_san_antonio-p1.pdf\n\nhttps://tepri.org/wp-content/uploads/2025/07/CVES-Statewide-Report.pdf\n\n
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,2,Other: up to 6% of income spent on energy services.,Utilizing DOE's LEAD tool to calculate.
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,15,Other: 6% or more,"We consider energy burden of 6% or more to to be high burden, and 10% or more to be energy poverty. A report conducted by the Sierra Club on energy burden in the City of Milwaukee estimated 85,000 residents to be in high burden: https://www.sierraclub.org/sites/default/files/sce-authors/u560/2392%20MilwaukeeEnergy_Report_06_high%20%281%29.pdf. With a current City of Milwaukee population of 556,111, that means about 15% of residents face a high energy burden."
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,26.3,Other: Over 6% of income spent on energy,"In 2019, Greenlink Analytics prepared a report for the City of Orlando that provided that 30% of households faced a high energy burden (spending 6% of their income on energy). Updated data from their database shows 26.3% of households facing a high burden, and 14.4% of households facing a severe energy burden (spending more than 10% of income on energy) for 2022. "
